"year","co2_on_ppm","co2_off_ppm","tas_on_c","tas_off_c","rfco2_on_wm2","rfco2_off_wm2","rftot_on_wm2","rftot_off_wm2","target_nonco2_wm2","effective_nonco2_on_wm2","effective_nonco2_off_wm2"
2122,327.869870192423,395.367059294291,1.52894561590726,2.15407459206723,0.922342059340158,1.97121882313613,2.10753152813092,3.15640985343743,1.18519474626786,1.18518946879076,1.1851910303013
2123,327.396080769602,395.36653726484,1.52970960527157,2.16059541173616,0.914317318662272,1.97120954935456,2.13233271287221,3.18922652002885,1.21802071714659,1.21801539420994,1.21801697067429
2124,326.929721631869,395.372402415315,1.52746584182192,2.16409723544965,0.906408200633866,1.97129176715058,2.10233455767732,3.16721971570213,1.19593172552786,1.19592635704346,1.19592794855155
2125,326.468189792444,395.381502555335,1.52443411504566,2.16679907797291,0.898570936863429,1.97142034223305,2.09704715024473,3.16989816228393,1.19848162745788,1.19847621338131,1.19847782005087
2126,326.008252610501,395.390789801028,1.51831883402365,2.1664058560949,0.890750819259492,1.97155163550886,2.05931459527751,3.14011703335042,1.16856923570764,1.16856377601802,1.16856539784156
2127,325.548793943613,395.399140788769,1.50987934712339,2.16367778278351,0.882928910753519,1.97166956381883,2.02723793798507,3.115980228043,1.14431453254607,1.14430902723155,1.14431066422418
2128,325.087414195399,395.404256827913,1.50082216513334,2.16032281170748,0.875064287960837,1.97174121883468,2.00512771288088,3.1018062958361,1.13006897584447,1.13006342492004,1.13006507700142
2129,324.624538899473,395.406833166762,1.4916336455377,2.15682878582087,0.867164062574673,1.97177655527093,1.9850669540598,3.08968111382338,1.11790848800833,1.11790289148513,1.11790455855245
2130,324.161095488593,395.407869730066,1.4834399886276,2.15432292808791,0.859243964668399,1.97178988864573,1.97689937936579,3.0894469852982,1.11766105680916,1.11765541469739,1.11765709665247
2131,323.698210883455,395.408572716605,1.47784143843331,2.15440605931562,0.851323221056189,1.97179848699935,1.98666579737404,3.10714276006401,1.13534826401416,1.13534257631785,1.13534427306466
2132,323.238181059096,395.411368359037,1.47750003199851,2.15974021852353,0.843441199633403,1.97183708425476,2.0287816304782,3.15717922658326,1.1853461641498,1.18534043084479,1.1853421423285
2133,322.78473955496,395.42021998656,1.4771640099064,2.16507290652443,0.835662146483775,1.97196241786899,2.02486966945723,3.16117166709442,1.18921330197283,1.18920752297345,1.18920924922543
2134,322.338293857336,395.434996693875,1.47619526409379,2.16976450791878,0.827993466663148,1.97217260824216,2.02316935861555,3.16735024138705,1.19518171675091,1.1951758919524,1.19517763314489
2135,321.895704564687,395.452359494594,1.47269013147952,2.17191068830912,0.820381561271319,1.9724198499495,1.99781907267352,3.14985911755297,1.17744338204933,1.1774375114022,1.17743926760347
2136,321.454809695406,395.470073570772,1.46594058258927,2.17080354299196,0.812789401303398,1.97267214883399,1.96179242908362,3.12167694787714,1.14900894430489,1.14900302778022,1.14900479904315
2137,321.012587026631,395.485114770586,1.4563389199397,2.1668363827349,0.805164933078798,1.97288621741474,1.92218544639659,3.08990851700814,1.11702647569765,1.11702051331779,1.11702229959341
2138,320.567272071123,395.495870040245,1.44634145866715,2.16246712076948,0.797477567142286,1.97303897120369,1.90101664961051,3.07657985482256,1.10354509064052,1.10353908246822,1.10354088361886
2139,320.119273253559,395.503063667505,1.43646506409995,2.1582142546542,0.78973413826705,1.9731407812224,1.88121576674929,3.0646242255333,1.09148768237305,1.09148162848224,1.0914834443109
2140,319.670145472164,395.508347788164,1.42713135552767,2.15450037763749,0.781961367426141,1.97321529661086,1.86700520528782,3.05826096481902,1.08504993741624,1.08504383786168,1.08504566820816
2141,319.220746742756,395.51255104306,1.41887346060825,2.15185903016163,0.774174028314919,1.97327437822378,1.85954555924853,3.05864775386121,1.08537767609223,1.08537153093361,1.08537337563742
2142,318.772162888964,395.516758523078,1.41309111257691,2.15168993851818,0.766390924825426,1.97333355672659,1.86902882570175,3.07597331651758,1.10264409158143,1.10263790087633,1.10263975979099
2143,318.326184841883,395.522864562292,1.40954013965762,2.15374853744202,0.758643213338982,1.97341994436852,1.88003312338032,3.09481172743245,1.12139614626799,1.12138991004133,1.12139178306392
2144,317.884563789571,395.532588758079,1.40606971491887,2.15588311452478,0.750961516225009,1.97355815079038,1.8747321673653,3.09733068906407,1.12377693292219,1.12377065114029,1.12377253827369
2145,317.446846312537,395.5452070588,1.40222424032604,2.15763709396881,0.743338190420198,1.97373780985497,1.86768673832382,3.09808825905447,1.12435487528388,1.12434854790362,1.1243504491995
2146,317.0116006756,395.559206477073,1.39736310657592,2.15836942517995,0.735748482918025,1.97393726503296,1.852469754772,3.09066045234075,1.11672764483787,1.11672127185397,1.11672318730779
2147,316.577789239626,395.573545201811,1.39042988966152,2.15702371948699,0.728174400848818,1.97414160505782,1.82449307848621,3.07046221228182,1.09632509621468,1.0963186776374,1.096320607224
2148,316.14372286215,395.586466885012,1.38339297926318,2.15556885119819,0.720586465892508,1.97432569527028,1.81346048926546,3.06720166228057,1.0928804874924,1.09287402337295,1.09287596701029
2149,315.70904429487,395.597859210451,1.37538080721759,2.15313412045488,0.712978378332028,1.97448792992888,1.78965766525555,3.05116917435754,1.07668579648588,1.07667928692352,1.07668124442867
2150,315.274126695451,395.608087030407,1.36699959478527,2.15032634042966,0.705356614571385,1.97463353136119,1.77243917877697,3.04171806680029,1.06708911912823,1.06708256420558,1.06708453543909
2151,314.838554564788,395.616747061051,1.35875871409722,2.14765544381584,0.697713837062246,1.97475672971794,1.75838245822859,3.03542733563123,1.06067522131981,1.06066862116635,1.06067060591328
2152,314.402918839859,395.624498672388,1.35112215799495,2.14558579767707,0.690060363513252,1.97486696105561,1.74939458909935,3.03420318469888,1.05934087084962,1.0593342255861,1.05933622364327
2153,313.967920428574,395.632075150035,1.34563911678931,2.14566669826678,0.682408499153542,1.97497471828209,1.75771084231853,3.05027907262503,1.07530903342719,1.07530234316499,1.07530435434294
2154,313.535139321235,395.641215683857,1.34389744915301,2.14948579138488,0.674786103325749,1.97510488662073,1.78566384946744,3.08598465691085,1.11088448132666,1.11087774614169,1.11087977029012
2155,313.309550634214,395.6549071966,1.34439430937882,2.15519884840102,0.67080902762709,1.97530020182283,1.80487962731627,3.10937283527318,1.13407737647821,1.13407059968918,1.13407263345035
2156,313.132786795717,395.674179412188,1.3438754977717,2.15950407231612,0.667690875803904,1.97557539039117,1.79787977208025,3.10576632967121,1.13019571425983,1.13018889627634,1.13019093928004
2157,313.048016242892,395.696370813839,1.34201286936355,2.16201663528872,0.666194851495451,1.97589236403076,1.78868992833584,3.0983894920207,1.1225019348565,1.12249507684039,1.12249712798994
2158,313.409858658434,395.718604896393,1.33898120853629,2.16224546998542,0.672577123804055,1.97620996486621,1.77676550242803,3.0804003955166,1.10419526939373,1.10418837862397,1.1041904306504
2159,313.77295285344,395.739013219839,1.33410360450341,2.15965580145429,0.678974766113726,1.97650146378609,1.75448402996612,3.05201278105293,1.07551618790719,1.0755092638524,1.07551131726684
2160,314.152156513373,395.755759508664,1.32820525292365,2.15529438094552,0.6856491020322,1.97674059647408,1.7374684020071,3.02856195133302,1.05182625745559,1.0518192999749,1.05182135485894
2161,314.549267459815,395.768068324441,1.32275143793736,2.15075746730592,0.692630807888881,1.9769162763515,1.73187536905235,3.01616289363021,1.03925155194421,1.03924456116347,1.03924661727871
2162,314.966590437731,395.776956421076,1.31895286588233,2.14734111664194,0.699959271133346,1.97704305231207,1.73840353039567,3.01548936860418,1.03845128316014,1.03844425926233,1.03844631629211
2163,315.406000442445,395.784290274624,1.3181566355293,2.14645170312615,0.707666100367415,1.97714762511273,1.76186236574518,3.03134594813827,1.05420332222015,1.05419626537776,1.05419832302553
2164,315.814506618029,395.792519560898,1.32177431601437,2.14963598771426,0.714822178214566,1.9772650351353,1.8055965778583,3.06804149380304,1.09078149028778,1.09077439964374,1.09077645866774
2165,316.131469748487,395.804888289484,1.32850182262609,2.15581263173483,0.720368839775837,1.97744168164645,1.84420819151371,3.1012830957639,1.12384647821611,1.12383935173787,1.12384141411745
2166,316.388204857918,395.823647446682,1.33272861028808,2.15950473046125,0.724857844246606,1.97770975474478,1.83337106047215,3.08622503827099,1.1085203800692,1.10851321622555,1.10851528352621
2167,316.668207882492,395.84557434973,1.33601968828704,2.16222325646544,0.729749942549666,1.97802315202593,1.8401255152111,3.0884007969386,1.11038277379803,1.11037557266143,1.11037764491267
2168,316.935593724367,395.867492290995,1.33553240529389,2.16111981908037,0.734417946849081,1.97833643570043,1.80925063850819,3.05317120491242,1.07483993045523,1.07483269165911,1.07483476921199
2169,317.188851646072,395.887273048983,1.33227002503042,2.15721085455229,0.738836023434887,1.97861917064264,1.78510336540605,3.02488859585074,1.04627461880003,1.04626734197116,1.0462694252081
2170,317.425210071178,395.902214141054,1.32790692801089,2.15218369175756,0.742956412528115,1.97883271478306,1.76872832189403,3.00460671318271,1.02577922444205,1.02577190936592,1.02577399839965
2171,317.645212784629,395.912889440925,1.32367587817904,2.14728282396142,0.746789185753556,1.97898528114372,1.76113256930984,2.99333075958841,1.01435073707475,1.01434338355629,1.01434547844469
2172,317.850332659683,395.920609353573,1.32019113471043,2.14313234414091,0.750360520162587,1.97909561216074,1.75941541962876,2.98815261242355,1.00906229162262,1.00905489946618,1.00905700026281
2173,318.042317709594,395.926782370538,1.31853990878546,2.14082730465274,0.753701282614728,1.97918385041432,1.77076424307421,2.99624891766808,1.01707039146746,1.01706296045948,1.01706506725376
2174,318.223222914123,395.933109683144,1.32030964754962,2.14196120898099,0.756847581620331,1.97927432231553,1.80184644092229,3.02427529453801,1.04500632939662,1.04499885930195,1.04500097222247
2175,318.396032948824,395.942289001583,1.32363287361692,2.14467098167688,0.759851587685543,1.97940560197303,1.81949991194758,3.03905604551589,1.0596558337489,1.05964832426204,1.05965044354286
2176,318.562422656137,395.955336230532,1.32773630529549,2.14818623641172,0.762742603404792,1.97959221257998,1.8360045508896,3.05285628611694,1.07326949675913,1.07326194748481,1.07326407353696
2177,318.722102471145,395.971344298753,1.33101321187761,2.1509025111248,0.765515760957404,1.97982117981283,1.83725728720628,3.05156483926261,1.07174911566853,1.07174152624887,1.07174365944979
2178,318.874389153656,395.989052467185,1.33181323522315,2.151171416895,0.768159362462022,1.98007447363428,1.82107318553213,3.0329904374231,1.05292145296977,1.05291382307011,1.05291596378882
