year,co2_on_p05_ppm,co2_on_p50_ppm,co2_on_p95_ppm,co2_off_p05_ppm,co2_off_p50_ppm,co2_off_p95_ppm,tas_on_p50_c,tas_off_p50_c
2119,333.54027659661546,338.13814810374447,340.7262602655186,394.511609763871,411.5753768897443,421.35766672820387,1.4485023504820884,1.9753173344497013
2120,332.83595349874844,337.3559786540178,339.95066113712227,394.31600874182345,411.47464772843523,421.31397972193474,1.4384565944217984,1.9620501875431597
2121,332.0841661371722,336.5758836900945,339.1874401308854,394.12459967570874,411.3679524671316,421.2821672615935,1.459685157408357,2.0048909423648964
2122,331.31453442696267,335.8141633999215,338.4111178042111,393.93477173281246,411.2593738678531,421.2249096831976,1.4408164233724186,1.9781002239736427
2123,330.5430186546077,335.0321679386846,337.6413945922694,393.74526223116044,411.1493771662582,421.16611042330305,1.4445371479015807,1.994628157807068
2124,329.8289073135671,334.26597808027714,336.8786331843907,393.56504904405506,411.0397142994551,421.1202523911343,1.4422618938312246,1.9996844490325905
2125,329.08900348402534,333.5089023615733,336.0971179512058,393.3802773482438,410.9334728407606,421.07739477850197,1.4478871070256676,1.9971038869501
2126,328.3860570810448,332.7493794235512,335.370255461381,393.18902652363346,410.8258401119201,421.0545032291476,1.4220007688727447,1.9960597994997644
2127,327.65812740162596,331.9961437209261,334.56513735901694,393.00382005859086,410.7206408881565,421.0606865529995,1.4150957512961462,1.9806421816384399
2128,326.91840951857375,331.24172736522786,333.85284556353383,392.82111112395614,410.61832610174713,421.053228891801,1.411818421022885,1.9902419905347895
2129,326.19267371796406,330.490961165181,333.132066318619,392.6396669591619,410.51563144454167,421.0672613400987,1.4029449725458862,1.9935653777964717
2130,325.4671432469831,329.74220366136643,332.3929470551303,392.45889836528306,410.4151078377747,421.0830625837399,1.3976592862654664,1.9842272144181186
2131,324.7513851663652,328.99506609094794,331.65884226808987,392.28558475673253,410.316289824383,421.09446041962934,1.3906528930354027,1.9878578129414264
2132,324.06388815149234,328.25666767408546,330.9156608584794,392.1203729073916,410.2145286389306,421.0997654658862,1.3920512795622935,1.9940015853731217
2133,323.4062300076596,327.5360921759892,330.2082191411208,391.97325963044455,410.11423874593265,421.07196326641065,1.4073095485349112,2.0188761670595876
2134,322.704898556614,326.8225786129552,329.4553224012852,391.847540920431,410.01797582975445,421.0590001220356,1.3977660158486147,2.011363212418031
2135,322.0970174991026,326.08065099936607,328.74117345538843,391.72529680686296,409.9214834635797,421.05171109733874,1.4003069669295494,2.0229546524519497
2136,321.47646080923204,325.37731756317453,328.0481807707886,391.6064514737244,409.83076395431465,421.046596282868,1.3844035359245612,2.016040243579675
2137,320.7778230016438,324.6538632860047,327.3377584265909,391.46482695679134,409.74116171485616,421.04879295309684,1.3802280036443932,2.0252059744753863
2138,320.0832251017782,323.9428422026162,326.63001005449615,391.3235780697203,409.653260443804,421.0340497153795,1.3647454129878647,1.996940752474061
2139,319.4156643667563,323.23800539570215,325.93680960042224,391.1805922092144,409.5667026695111,421.0306391017016,1.3649788162362868,2.008927010227551
